ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Area Path;Assigned To;State
;;;"18";"Vezénylési csoport fül adatainak ellenőrzése a Vezénylési csoport fülre kattintva.
";"Amennyiben a vizsgajegyzőkönyv nem került hozzáadásra vezénylési csoporthoz az alábbi üzenet jelenik meg a blokkban:
""Ez a vizsgajegyzőkönyv nem került hozzáadásra vezénylési csoporthoz.""";;;
;;;"19";"Vizsgabiztos fül adatainak ellenőrzése a Vizsgabiztos fülre kattintva.
";"Az oldalon megjelennek a Vizsgajegyzőkönyvhöz vezényelt vizsgabiztosok információi az alábbi adatokkal:
- Név
- Vezényelve
- Visszavonva
- Típus";;;
;;;"20";"Vizsgaösszesítő fül adatainak ellenőrzése a Vizsgaösszesítő fülre kattintva.";"Az oldalon megjelennek a vizsgajegyzőkönyvben megvalósuló vizsgák információi az alábbi, üzenettel és adatokkal:
""A 0 Ft-os vizsgák a díjmentes vizsgákat jelölik.""
- Kategória
- Képzés
- Vizsga
- Vizsgafajta
- Segédlet szükséges
- Vizsgaszám
- Vizsgadíj
- Vizsgaárak

Az oldal alján megjelenik az ""Excel export"" gomb.
";;;
;;;"21";"A Vizsgaösszesítő fül adatainak exportálása az ""Excel export"" gombra kattintva.";"A rendszer az Ugyintezo/GyakorlatiVizsgajegyzokonyv/Edit/400231?mod=True#!EditTabVizsgaosszesito oldalon maradva generál egy excel fájlt, amelyben hiánytalanul megtalálhatóak a felületen található adatok. Ez a fájl a számítógép letöltött anyagai között megtalálható.
";;;
;;;"22";"Módosítás fül adatainak ellenőrzése a Módosítás fülre kattintva.
";"Az oldalon megjelennek a vizsgajegyzőkönyvben eszközölt módosítások listája az alábbi adatokkal:
- Dátum
- Típus
- Módosító

Az adott módosítás részletei megtekinthetőek a sor jobb szélén található ""Részletek"" ikonra kattintva
";;;
"125469";"Test Case";"Új automata vezénylés rögzítése- KAV-016";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Farkas Anna <RCINET\farkasan>";"Design"
"115779";"Shared Steps";;"1";"Login (kategóriás ügyintéző)";;;;
;;;"1_1";"A https://tesztauth.pallasz.hu/ oldal megnyitása (környezetfüggő URL)
";"Megnyílik az ""Központi bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"1_2";"Bejelentkezés megfelelő jogosultságú felhasználóval.
A kategóriás ügyintéző regisztrációját vezető ügyintéző szerepkörű felhasználó 
végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról 
e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet 
bejelentkezni a rendszerbe kategóriás ügyintézőként.";"Megnyílik a https://tesztkatvizs.pallasz.hu/ugyintezo (Kategóriás) oldal.
Bejelentkezést követően a szerepkörnek (kategóriás ügyintéző) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"2";"Vizsgaszervezés/ Vezénylés hatósági vizsgajegyzőkönyvekhez menüpont kiválasztása (két helyről is kiválasztható: nyitóoldali blokk és a legördülő főmenü)
";"Megnyílik a Vezénylés hatósági vizsgajegyzőkönyvekhez oldal, amelyen található egy Vezénylés és Automata vezénylés fül, egy szűrő blokk és a hozzá tartozó találati lista.
A szűrő blokk az alábbi mezőket tartalmazza:
 
- Vizsgajegyzőkönyv azonosító
- Születési név
- Vizsga napja
- Helyszín
- Vezénylés állapota
A szűrő blokk tartalmaz egy Szűrő feltételek törlése és Szűrés gombot. Az oldal alján megjelenik az Új vezénylési csoport gomb.
";;;
;;;"3";"Automata vezénylés fülre kattintás.
";"Megnyílik az Ugyintezo/Vezenyles#!AutomataVezenyles oldal, amelyen található egy szűrő blokk és a hozzá tartozó találati lista.A szűrő blokk az alábbi mezőket tartalmazza:
 
- Vezénylés állapota (a betöltött paraméterekből lehet választani)
- Időpont (manuálisan vagy dátumválasztóból)

A szűrő blokk tartalmaz egy Szűrő feltételek törlése és Szűrés gombot. Az oldal alján megjelenik az Új automata vezénylés gomb. 
";;;
;;;"4";"Új automata vezénylés gombra kattintás.
";"A megnyitott oldalon megjelenik az Új automata vezénylés blokk, melyen megadhatók az alábbi adatok:
 
- Típus* (Időszakra/Napra)
- Második vizsgabiztos vezényelhető* (Igen/Nem)
- Időszak* (manuálisan vagy dátumválasztóból)
Második vizsgabiztos vezényelhető mező estén az alábbi információra figyelmeztet a rendszer: Igen esetén is csak akkor kerül második vizsgabiztos vezénylésre, ha érintett olyan vizsgázó, akihez javasolt második vizsgabiztos vezénylése. A jobb alsó sarokban megjelennek a Mégsem és Mentés gombok. ";;;
;;;"5";"Mentés gombra kattintás. ";"A mentés gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer az Ugyintezo/Vezenyles#!AutomataVezenyles oldalt tölti be újra, ahol egy szűrés után a listában megjelenik az újonnan rögzített  automata vezénylés.";;;
"125470";"Test Case";"Vizsgajegyzőkönyv megtekintése, eredmények módosítása";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"115779";"Shared Steps";;"1";"Login (kategóriás ügyintéző)";;;;
;;;"1_1";"A https://tesztauth.pallasz.hu/ oldal megnyitása (környezetfüggő URL)
";"Megnyílik az ""Központi bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"1_2";"Bejelentkezés megfelelő jogosultságú felhasználóval.
A kategóriás ügyintéző regisztrációját vezető ügyintéző szerepkörű felhasználó 
végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról 
e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet 
bejelentkezni a rendszerbe kategóriás ügyintézőként.";"Megnyílik a https://tesztkatvizs.pallasz.hu/ugyintezo (Kategóriás) oldal.
Bejelentkezést követően a szerepkörnek (kategóriás ügyintéző) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"2";"Bejelentkezést követően a Vizsgaszervezés/Vizsgajegyzőkönyv menüpontot kell választani. 
";"Megnyílik az /Ugyintezo/Vizsgajegyzokonyv#!Nyitott oldal, amelyen található egy Nyitott és Lezárt (alapértelmezett) fül, egy szűrő blokk és a hozzá tartozó találati lista.
A szűrő blokk az alábbi mezőket tartalmazza:
 
- Jegyzőkönyv azonosító
- Időpont (időpontválasztóból vagy manuálisan)
- Vizsgaszervezés (Hatósági gyakorlat kiválasztása esetén nincs Vizsga típusa mező, Képző szervi kiválasztás esetén nincs Vizsga típusa és Vizsgahelyszín mezők, Képző szerv és Kategória mezők Igen)
- Vizsga típusa
- Vizsgahelyszín
A szűrő blokk tartalmaz egy Szűrő feltételek törlése és Szűrés gombot.
";;;
;;;"3";"(Szűrő megfelelő kitöltése és a) Szűrés gombra kattintás.
";"Az /Ugyintezo/Vizsgajegyzokonyv#!Nyitott oldalon maradva a rendszer kilistázza a szűrőfeltételeknek megfelelő vizsgajegyzőkönyveket Azonosító, Időpont és Vizsgahelyszín a szerint. A vizsgajegyzőkönyvek sorában megjelennek a Részletek gombok.
";;;
;;;"4";"Módosítani kívánt vizsgajegyzőkönyv sorában lévő Részletek gombra kattintás.
";"A rendszer a Vizsgajegyzőkönyv Részletek oldalára navigál, ahol megjelenik az Alapadatok blokk a korábban megadott adatokkal, melyek nem aktívak, nem kattinthatók, valamint a Vizsgák (alapértelmezett) és Vizsgabiztosok fülek. 
";;;
;;;"5";"Vizsgák fül megtekintése.
";"Az oldalon maradva megjelennek a tanulók, név, azonosító, képzés, vizsgajegyzőkönyv eredmény, születési hely és idő szerint, mely adatok nem módosíthatók, valamint a jobb alsó sarokban a SZEV eredmények betöltése és a Lezárás gombok, melyek aktívak és kattinthatók.
";;;
;;;"6";"Módosítani kívánt vizsgára (tanulóra) kattintás. 
";"Az oldalon maradva lenyílva megjelennek a vizsga adatai, Vizsga kódja, Vizsgajegyzőkönyv eredménye és Záró eredmény szerint (nem aktív mező), valamint a jobb alsó sarokban a Mentés gomb. Vizsgajegyzőkönyv eredménye mező esetén a betöltött paraméterekből lehet választani.
";;;
;;;"7";"Vizsgajegyzőkönyv eredményének módosítása, majd a Mentés gombra kattintás. 
";"A megnyitott oldalon az ""Az eredmények a jegyzőkönyv lezárásakor kerülnek felülírásra. Kívánja végrehajtani a műveletet?"" üzenet jelenik meg, melyekre a Nem és Igen gombokkal lehet válaszolni. 
";;;
;;;"8";"Igen gombra kattintás. 
";"Az Igen gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer a Vizsgajegyzőkönyv részletek oldalra navigál. A megjelenő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben.
";;;
"125471";"Test Case";"Új tanrend létrehozása - SZK-006";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Lengyel Zoltán (Multicontact) <RCINET\LengyelZ>";"Design"
;;;"1";"Tesztelési előfeltételek:
- megfelelő jogosultsággal rendelkező (tanrend szerkesztése) képző szervi ügyintéző.
- érvényes oktatási helyszín megléte (OKTH-001)
- képző szervhez rendelt szakoktató megléte
";"
";;;
"115088";"Shared Steps";;"2";"Login (képző szerv)";;;;
;;;"2_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
Vizsgabiztos";;;
;;;"2_2";"Képző szervek (Autósiskolák) bejelentkező oldal megnyitása (Képző szervek (Autósiskolák) gomb megnyomása)";"Megnyílik a beleptetes/Kepzoszervek oldal, amelyen az alábbi lehetőségek közül van lehetőség választani:
- Kategóriás
- Légügy
- Szaktanfolyami
- Utánképzés
- Vasút";;;
;;;"2_3";"""Kategóriás"" gomb megnyomása";"Megnyílik az ""Iskolai bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"2_4";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/Kategorias címre (környezetfüggő URL).
A képző szerv regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe képző szervként.";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.";;;
;;;"2_5";"Hitelesítő kód megadása és belépés a rendszerbe";"Megnyílik a https://tesztkvar.pallasz.hu/iskola (Iskola) oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (képző szerv) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"3";"A bejelentkezést követően ki kell választani a Tanrend/Új tanrend menüpontját.
";"A rendszer betölti az új tanrend űrlapot, amelyen az alábbi mezők tölthetők ki. 
Azonosító*
Tanfolyam típus*
Tantárgy típus*
Oktatás helyszíne*
Tervezett létszám
Vizsga tervezett dátuma

Az azonosító mező kitölthető, kattintsára (fókusz) beviteli maszkot jelenít meg: ##/#### formátumban. 
A tanfolyam típus mezőt nyitva. Az rendszerben rögzített alap paramétereknek megfelelő képzési típusok jelennek meg. 

A tanfolyam típus esetében a lenyíló listában a vezető ügyintéző által a képzőhöz rögzített képezhető képzések listája jelenik meg. 
A tantárgy típusnál a vezető ügyintéző által a képzőhöz rögzített engedélyben meghatározott tantárgy típusok választhatók ki, figyelembe véve az adott kategóriájára jellemző részszabályokat. 

Az oktatás helyszíne választó listában azok az értékek jelennek meg, amelyet az képző intézményhez rendelt ügyintéző, a beállítások/helyszínek menüpont alatt felrögzített.

A tervezett létszám mező kitölthető, a mező csak számértéket fogad el 1 és 255 közötti értékkel. A mező üresen is hagyható. 

A vizsga tervezett dátuma mező naptár funkciója működik, a dátumok tallózhatók és kiválaszthatók. A mezőbe dátumot a megfelelő formátumban be lehet gépelni. 

Az ablak alsó részén a tantárgyak blokk jelenik meg. A tantárgyak blokk alapértelmezetten üres. 
A tanulók fül (tab) nem aktív, nem válaszható ki. 
";;;
;;;"4";"Új tantárgy hozzáadása gombra kattintással a megfelelő tantárgy kiválasztása és rögzítése.
";"Megjelenik a tantárgyak rögzítési űrlap. Kötelező mezőként a tantárgy az oktató neve, az időpontok, illetve a helyszín információt kell rögzíteni. 

A tantárgy lenyíló listában a tanfolyam típusnak megfelelő, az alapkészletben rögzített tantárgy típusok kerülnek listázásra. Ezekből csak egy választható ki. 

A tantárgy kiválasztását követően a szakoktató neve lista feltöltődik azokkal a szakoktatókkal, akik a kiválasztott kategóriás képzéshez rendelt szakoktatói engedéllyel rendelkeznek, és a képző szervi ügyintéző a Beállítások/Szakoktatók menüpont alatt az adott képzőhöz rendelt. 

Az időpont beállításánál a nap mező naptár funkciója kattintható, a naptár megjelenik, az adott dátum kiválasztható, illetve a megfelelő formátumban a szövegesen bevihető. A kezdete vége mezők esetében 5 perces bontásban kiválasztható az időpont, illetve a megfelelő formátumban a szövegesen bevihető. Az óraszám mezőbe szám formátum rögzíthető az adott napi óraszám, egyéb karakter nem gépelhető a mezőbe. Az oktatás helyszíne lenyíló listában a képződött rendelt. Tantárgy típusnak megfelelő oktatási helyszínek jelennek meg. 

";;;
;;;"5";"Pótfoglalkozás hozzáadása gombra kattintással az adott tantárgyhoz kapcsolódó pótfoglalkozás adatai megadhatók.
";"A pótfoglalkozások időpont és helszínrögzítő űrlap betöltődik az adott tantárgy blokkjába. Az időpont beállításánál a nap mező naptár funkciója kattintható, a naptár megjelenik, az adott dátum kiválasztható, illetve a megfelelő formátumban a szövegesen bevihető. A kezdete vége mezők esetében 5 perces bontásban kiválasztható az időpont, illetve a megfelelő formátumban a szövegesen bevihető. Az óraszám mezőbe szám formátum rögzíthető az adott napi óraszám, egyéb karakter nem gépelhető a mezőbe. Az oktatás helyszíne lenyíló listában a képződött rendelt. Tantárgy típusnak megfelelő oktatási helyszínek jelennek meg. 

";;;
;;;"6";"Pótfoglalkozás Időpontjának törlése az adott tantárgy vonatkozásában, a pótfoglalkozások időpont és helyszín rögzítésére szolgáló űrlap jobb oldalán található X (piros) gombra kattintva.
";"Kattintásra a pótfoglalkozásokhoz tartozó időpont és helyszín rögzítési űrlap eltűnik. 
";;;
;;;"7";"Új tantárgy hozzáadása gombra kattintva egy másik tantárgy rögzítése. (megfelelő adatokkal történő kitöltése)
";"Az előzőleg rögzített tantárgy adatok, időpontok és helyszínek kitöltötten megmaradnak és megjelenik egy új tantárgy rögzítése űrlap blokk tantárgy nevével, oktató nevével, időpontokkal, hasonlóan az előző lépésekben bemutatott formában. A követelmények megegyeznek az előző lépésben rögzítettekkel.  
";;;
;;;"8";"A kitöltött időpont és helyszínadatok elmentése a Mentés gomb megnyomásával. 
";"A rendszer a Tanrend módosítása oldalra navigál (Iskola/Tanfolyam/Edit/300026#!Tanrend), ahol az előző lépésekben megadott adatokat tartalmazó tanrend kerül megjelenítésre, a tantárgyakkal és azok részadataival. 
Amennyiben a rögzített időpontok a meghatározott időn belül kezdődnek, akkor a rendszer piros háttérszínnel jelöli a Nap, Kezdete, Vége és Óraszám mezőket, valamint megjeleníti az alábbi üzenetet:  Az eltérő háttérrel jelzett órák módosításának lejárt a határideje. Csak indokolt esetben módosítsa!

Módosítható mezők  a szerkesztési nézetben: 
Tantárgy, Szakoktató neve, Időpontok minden mezője.

Aktív lesz a Tanulók fül (tab).
";;;
;;;"9";"Tanrend nyomtatása gomb megnyomása
";"Az oldal megjeleníti a Dokumentum előnézet modal ablakot, amelybe betölti a TANREND című formanyomtatványt, a tanfolyam adataival kitöltve PDF formátumban. A PDF fájl nyomtatható (a nyomtató beállítása a tesztelő gépétől függ), illetve lementhető és a rendszertől független PDF olvasó vagy szerkesztő programmal megnyitható. 
";;;
;;;"10";"Tanulók fül (tab) kiválasztása
";"A tanulók fül (tab) aktív lesz, megjelenik a tanulók listázását tartalmazó felület (jelenleg üresnek kell lennie). Az oldalon megjelenik a A tanulók névsorát legkésőbb ÉÉÉÉ.HH.NN.-ig rögzíteni kell! üzenet, amely a tanfolyam első képzési napjának megfelelő dátumot tartalmazza. Az oldalon megjelenik a Névsor nyomtatása, a Névsor véglegesítése, és a Tanuló hozzáadása gomb. 
";;;
;;;"11";"Tanuló hozzáadása gombra kattintás (a tesztlépés előfeltétele, hogy legyen a képzőhöz rendelet tanulói jelentkezés az adott kategóriás képzésre)
";"A rendszer betölti a Tanuló hozzáadása modal ablakot. Az ablakban megjelenik az Alapadatok blokk, amely a listázható tanulók adatainak szűrésére keresésére szolgál. Az űrlapon az alábbi adatok adhatók meg: 
-Teljes név
 -Születési név
-Anyja neve
-Születési hely
-Születési idő
 
A szűrőfeltételekben a 4T adatok közül legalább egy adat megadásával vagy több adat megadásával a szűrés gombra kattintva megjelenik a keresett tanuló. Amennyiben a szűrőfeltételek közül semmit nem adunk meg, csak a szűrés gombra kattintunk, akkor az összes, a kategóriához rögzített, a képzőnél szereplő tanulói jelentkezés kilistázódik.

";;;
;;;"12";"Tanuló hozzárendelése az adott képzéshez, a listában megjelenített adati jobb oldalán található Hozzárendelés (plusz jel) gombra kattintva.
";"A gomb megnyomására a rendszer megjeleníti A művelet, sikeresen végrehajtott üzenetet. Továbbra is nyitva maradt a tanulók hozzáadása, modal ablak és a listából eltűnik a kiválasztott tanuló. A szűrési feltételek ismételt megadásával vagy a szűrési feltétel nélküli keresés esetén a tanulónak nem szabad megjelennie a listában. A modal ablak bezárását követően visszatérünk a Tanrend módosítása oldalra, ahol továbbra is a Tanulók fül van kiválasztva. A tanulói listában megjelenik az előzőleg kiválasztott tanuló rekordja. 
A tanuló azonosító utolsó blokkja szerkesztésre aktív állapotban van, míg az első három blokkot a rendszer szerkesztési lehetőség nélkül megjeleníti. Az azonosító az alábbiak szerint épül fel: képző azonosítója / képzés indulásának éve (YY)/képzés azonosítója/futósorszámos tanulói azonosítója. A formátuma: ####/##/####/####.
";;;
;;;"13";"Tanulói azonosító mentése gombra kattintás. 
";"A rendszer a jobb felső sarokban megjeleníti A művelet sikeresen végrehajtódott üzenetet. 
";;;
;;;"14";"A tanulói egyedi azonosítóit el kell menteni a Tanulói azonosító mentése gombra kattintva.
";"Amennyiben a rendszerben már van a megadott azonosítóval tanuló rögzítve, akkor az Az alábbi tanuló(k) azonosítója már létezik üzenet jelenik meg, fel sorolva az érintett azonosítókat. Amennyiben azonos azonosítókat adunk meg legalább két hallgatóhoz, akkor azonos üzenetnek kell megjelennie. Egyedi azonosítók megadása esetén a rendszer A művelet sikeresen végrehajtódott üzenetet jeleníti meg az ablak jobb felső sarkában. 
";;;
;;;"15";"A tanulói azonosítók mentését követően a Névsor véglegesítése gombra kattintva lezárjuk a névsort.
";"A rendszer egy megerősítő kérdést jelenít meg (Biztosan végrehajtja a műveletet?), amelyen a Nem gombra kattintva a megerősítő kérdést tartalmazó ablak bezáródik, és a tanulói névsor változatlan marad. Az Igen gombra kattintva a rendszer véglegesíti a névsort és az alábbi üzenetet jeleníti meg a névsor felett sárga háttérrel: A névsort ÉÉÉÉ.HH.NN. HH:MM-kor Képzőközpont neve véglegesítette.
Véglegesítés hatására:
1. A hallgatói azonosító nem módosítható. Aktív lesz a Névsor véglegesítésének visszavonása gomb.
2. Eltűnik a törlés gomb a tanulói adatok jobb oldaláról (tehát nem törölhető a tanuló a névsorból).
3. Eltűnik a tanuló hozzáadása gomb, így a névsor nem bővíthető a továbbiakban. 
4. Eltűnik a Tanuló azonosító mentése gomb, amennyiben ez nem volt korábban megnyomva (nem előfeltétele a véglegesítésnek), akkor a véglegesítés a mentést megelőzően kötelezően lefut. 
 
";;;
;;;"16";"
";"
";;;
"125472";"Test Case";"Jelenléti ív módosítása, távozás rögzítése/törlése- SZK-009";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Farkas Anna <RCINET\farkasan>";"Design"
"116591";"Shared Steps";;"1";"Login (szakoktató) - általános";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).
";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
";;;
;;;"1_2";"Szakoktatók bejelentkező oldal megnyitása a Vizsgajelentő leadása (gomb megnyomása)
";"Megnyílik a ""Szakoktatói bejelentkezés"" oldal, felhasználónév és jelszó megadható.
";;;
;;;"1_3";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/szakoktato címre (környezetfüggő URL).
A szakoktató regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe szakoktatónként.
";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.
";;;
;;;"1_4";"Hitelesítő kód megadása és belépés a rendszerbe
";"Megnyílik a https://tesztekapuauth.pallasz.hu/Szakoktato (oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (szakoktató) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.
";;;
;;;"2";"Jelenléti ív menüpont kiválasztása.
";"Megnyílik a Szakoktato/JelenletiIv oldal, melyen az alábbi gombok jelennek meg:

- Ma
- jobbra és balra mutató nyilak
- mai dátum
- frissítés gomb

Az oldal alapértelmezetten az aznapi dátumot mutatja.
";;;
;;;"3";"Módosítani kívánt jelenléti ívre kattintás.";"A jobbra és balra mutató nyilak segítségével a szerkeszteni kívánt eseményre kattintás után Szakoktato/JelenletiIv/Edit/400175 oldalra navigál a rendszer, ahol megjelennek az időpont adatai (nem kattinthatók), valamint a tanuló adatai, melynél csak a jelenlét Megjelent/Hiányzik rádió gombok kattinthatók.
Az oldalon megjelennek még a piros Tanóra lemondás, zöld Jelenléti ív lezárása és Mindenki megjelent gombok.";;;
;;;"4";"Tanulói jelenlét hiányzásra állítása a Hiányzik gomb megnyomásával. ";"Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer a Jelenléti ív megadása oldalon marad. A frissülő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben.
";;;
;;;"5";"Mindenki megjelent gomb megnyomása.";"Az oldalon megjelenik a Biztosan végrehajtja a műveletet? üzenet, melyre az Igen és Nem gombok segítségével lehet válaszolni. Az Igen gomb megnyomásával az oldal a Jelenléti ív megadása oldalra navigál, ahol az összes tanuló jelenléte Megjelentre állt át. ";;;
;;;"6";"Távozás rögzítése a megfelelő tanuló sorába lévő Távozás gomb megnyomásával.";"Az oldalon megjelenik a Biztosan végrehajtja a műveletet? üzenet, melyre az Igen és Nem gombok segítségével lehet válaszolni. Az Igen gomb megnyomásával az oldal a Jelenléti ív megadása oldalra navigál, ahol a távozás rögzítésénél megjelenik a rögzítés pontos időpontja percre pontosan. 
";;;
;;;"7";"Távozás rögzítésének törlése a megfelelő tanuló sorában lévő Törlés gomb megnyomásával. ";"Az oldalon megjelenik a Távozás visszavonása blokk, melyben szöveges mezőként kötelezően megadandó a Visszavonás oka*. A blokk alján megjelennek a Mégsem és Ok gombok.
";;;
;;;"8";"Ok gomb megnyomása.";"Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer a Jelenléti ív megadása oldalon marad. A frissülő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben, a távozás rögzítésénél újabb távozás adható meg.
";;;
"125473";"Test Case";"Jelenléti ív lezárása- SZK-009";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Farkas Anna <RCINET\farkasan>";"Design"
"116591";"Shared Steps";;"1";"Login (szakoktató) - általános";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).
";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
";;;
;;;"1_2";"Szakoktatók bejelentkező oldal megnyitása a Vizsgajelentő leadása (gomb megnyomása)
";"Megnyílik a ""Szakoktatói bejelentkezés"" oldal, felhasználónév és jelszó megadható.
";;;
;;;"1_3";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/szakoktato címre (környezetfüggő URL).
A szakoktató regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe szakoktatónként.
";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.
";;;
;;;"1_4";"Hitelesítő kód megadása és belépés a rendszerbe
";"Megnyílik a https://tesztekapuauth.pallasz.hu/Szakoktato (oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (szakoktató) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.
";;;
;;;"2";"Jelenléti ív menüpont kiválasztása.
";"Megnyílik a Szakoktato/JelenletiIv oldal, melyen az alábbi gombok jelennek meg:

- Ma
- jobbra és balra mutató nyilak
- mai dátum
- frissítés gomb

Az oldal alapértelmezetten az aznapi dátumot mutatja.
";;;
;;;"3";"Módosítani kívánt jelenléti ívre kattintás.
";"A jobbra és balra mutató nyilak segítségével a szerkeszteni kívánt eseményre kattintás után Szakoktato/JelenletiIv/Edit/400175 oldalra navigál a rendszer, ahol megjelennek az időpont adatai (nem kattinthatók), valamint a tanuló adatai, melynél csak a jelenlét Megjelent/Hiányzik rádió gombok kattinthatók.
Az oldalon megjelennek még a piros Tanóra lemondás, zöld Jelenléti ív lezárása és Mindenki megjelent gombok.
";;;
;;;"4";"Jelenléti ív lezárása gombra kattintás.";"Az oldalon megjelenik a Biztosan végrehajtja a műveletet? üzenet, melyre az Igen és Nem gombok segítségével lehet válaszolni. Az Igen gomb megnyomásával az oldal a Jelenléti ív megadása oldalra navigál, ahol megjelenik sárga színnel a  ""A Jelenléti ív 2022_12_19. 14:35-kor Dr. Szaki Szabolcs (szakiszabi) által lezárásra került."" üzenet. A dátum a módosítás dátumától, a szakoktató neve a belépésnél használt szakoktatótól függ.
A lezárást követően már csak a piros Tanóra megszakítása gomb marad aktív az oldalon.
";;;
;;;"5";"
";"
";;;
"125475";"Test Case";"Tesztadatok - KAT-KEPZO-114";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
;;;"1";"Személyazonosító okmány";"Külföldi útlevél";;;
;;;"2";"Születési dátum";"2000.01.01";;;
;;;"3";"Választott kategória";"D";;;
;;;"4";"Választott tanfolyam";"D (C nélkül)";;;
;;;"5";"Elméleti tanfolyam típusa";"Jogszabály alapján tanfolyammentes";;;
